"iso3c","year","Top10share","Top1share"
"BIH",2011,0.28639999,0.061500002
"BIH",2012,NA,NA
"BIH",2013,NA,NA
"BIH",2014,NA,NA
"BIH",2015,NA,NA
"BIH",2016,NA,NA
"BIH",2017,NA,NA
"BRA",1960,NA,NA
"BRA",1961,NA,NA
"BRA",1962,NA,NA
"BRA",1963,NA,NA
"BRA",1964,NA,NA
"BRA",1965,NA,NA
"BRA",1966,NA,NA
"BRA",1967,NA,NA
"BRA",1968,NA,NA
"BRA",1969,NA,NA
"BRA",1970,NA,NA
"BRA",1971,NA,NA
"BRA",1972,NA,NA
"BRA",1973,NA,NA
"BRA",1974,NA,NA
"BRA",1975,NA,NA
"BRA",1976,NA,NA
"BRA",1977,NA,NA
"BRA",1978,NA,NA
"BRA",1979,NA,NA
"BRA",1980,NA,NA
"BRA",1981,NA,NA
"BRA",1982,NA,NA
"BRA",1983,NA,NA
"BRA",1984,NA,NA
"BRA",1985,NA,NA
"BRA",1986,NA,NA
"BRA",1987,NA,NA
"BRA",1988,NA,NA
"BRA",1989,NA,NA
"BRA",1990,NA,NA
"BRA",1991,NA,NA
"BRA",1992,NA,NA
"BRA",1993,NA,NA
"BRA",1994,NA,NA
"BRA",1995,NA,NA
"BRA",1996,NA,NA
"BRA",1997,NA,NA
"BRA",1998,NA,NA
"BRA",1999,NA,NA
"BRA",2000,NA,NA
"BRA",2001,0.54290003,0.26210001
"BRA",2002,0.55669999,0.27419999
"BRA",2003,0.5528,0.27200001
"BRA",2004,0.5478,0.27320001
"BRA",2005,0.551,0.27900001
"BRA",2006,0.55470002,0.2823
"BRA",2007,0.54939997,0.28290001
"BRA",2008,0.56199998,0.2929
"BRA",2009,0.54970002,0.2744
"BRA",2010,0.5521,0.28189999
"BRA",2011,0.56529999,0.29609999
"BRA",2012,0.55419999,0.2773
"BRA",2013,0.54890001,0.27649999
"BRA",2014,0.54610002,0.27520001
"BRA",2015,0.55559999,0.28349999
"BRA",2016,NA,NA
"BRA",2017,NA,NA
"BWA",1960,NA,NA
"BWA",1961,NA,NA
"BWA",1962,NA,NA
"BWA",1963,NA,NA
"BWA",1964,NA,NA
"BWA",1965,NA,NA
"BWA",1966,NA,NA
"BWA",1967,NA,NA
"BWA",1968,NA,NA
"BWA",1969,NA,NA
"BWA",1970,NA,NA
"BWA",1971,NA,NA
"BWA",1972,NA,NA
"BWA",1973,NA,NA
